,fold,phase,epoch,loss,accuracy
123,1,val,16,1.6941139412422974,33.5
124,1,train,17,0.9758811306070398,47.46
125,1,val,17,2.2147153190647564,34.31
126,1,train,18,0.9614369146644123,43.65
127,1,val,18,2.291799304075539,36.44
128,1,train,19,0.9281398490780876,54.0
129,1,val,19,2.2003390761092305,43.46
130,1,train,20,0.9064871804424064,60.43
131,1,val,20,2.0914516852547727,36.44
132,1,train,21,0.8655764417988914,54.85
133,1,val,21,2.2739631154884896,32.68
134,1,train,22,0.8550842797393521,57.95
135,1,val,22,2.064568506243328,37.42
136,1,train,23,0.8111665915875208,55.39
137,1,val,23,1.887018441222608,36.6
138,1,train,24,0.785565566921991,66.0
139,1,val,24,2.6094646469379463,44.61
140,1,train,25,0.7543418346140435,67.98
141,1,val,25,2.065794554539025,38.4
142,1,train,26,0.7258590570005475,65.08
143,1,val,26,2.1697764843702316,35.62
144,1,train,27,0.6908577266666625,58.0
145,1,val,27,2.5852874626095095,38.56
146,1,train,28,0.6752199803986562,72.48
147,1,val,28,2.7333986774707832,41.01
148,1,train,29,0.6421113148647011,67.04
149,1,val,29,2.3764554442216954,34.31
150,1,train,30,0.6029815791204335,73.85
151,1,val,30,2.7370923114940524,39.71
152,1,train,31,0.5787271067263589,69.0
153,1,val,31,3.204162328193585,35.13
154,1,train,32,0.5328024085118341,79.63
155,1,val,32,2.905857410902778,34.48
156,1,train,33,0.49273682811430525,79.32
157,1,val,33,2.677125417316953,33.33
158,1,train,34,0.47705302738323413,76.62
159,1,val,34,2.7054997918506465,36.11
160,1,train,35,0.46659450890328835,80.74
161,1,val,35,3.058275580095748,32.68
162,1,train,36,0.43289635239770174,75.77
163,1,val,36,2.224995148678621,32.84
164,1,train,37,0.4127822175188355,82.62
165,1,val,37,2.9230270258461437,40.69
166,1,train,38,0.39207230421108386,71.11
167,1,val,38,3.6361038759350777,28.1
168,1,train,39,0.37920478271645686,86.09
169,1,val,39,3.2181157895053425,31.05
170,1,train,40,0.3624283892383415,82.97
171,1,val,40,3.0427974549432597,31.7
172,1,train,41,0.36603443376798794,83.85
173,1,val,41,3.364076117364069,35.95
174,1,train,42,0.33307488117288186,82.68
175,1,val,42,2.291998663917184,34.8
176,1,train,43,0.3349089028717822,85.34
177,1,val,43,3.5078142260511718,33.17
178,1,train,44,0.3004532800568514,86.6
179,1,val,44,3.5384862354646125,22.06
180,2,train,0,1.409878645691834,20.41
181,2,val,0,1.448716812384756,17.66
182,2,train,1,1.3877737971912274,13.8
183,2,val,1,1.4780012965202332,14.2
184,2,train,2,1.360522140063208,25.5
185,2,val,2,1.4686080505973413,19.64
186,2,train,3,1.3317575939097945,22.12
187,2,val,3,1.47167691306064,19.97
188,2,train,4,1.2899552603352982,21.99
189,2,val,4,1.5991597533226014,26.25
190,2,train,5,1.2394645263620292,32.36
191,2,val,5,1.455205646314119,34.8
192,2,train,6,1.1937994681750879,34.93
193,2,val,6,1.5439988550386932,33.48
194,2,train,7,1.154578328604434,28.25
